sport,timestamp,enhanced_avg_speed,avg_speed,avg_cadence,total_distance,avg_temperature,avg_heart_rate,year,month,day,date,miles_per_hour,mile_pace,steps_per_minute
running,2023-07-04T03:21:36Z,3.214,65.535,74,1609.34,127,129,2023,7,4,2023-7-4,7.189512304,8.345489577452707,148
running,2023-07-04T03:31:20Z,2.757,65.535,74,1609.34,127,130,2023,7,4,2023-7-4,6.167232552000001,9.728836961165397,148
running,2023-07-04T03:41:07Z,2.742,65.535,75,1609.34,127,130,2023,7,4,2023-7-4,6.133678512,9.782058169924507,150
running,2023-07-04T03:50:04Z,2.995,65.535,75,1609.34,127,136,2023,7,4,2023-7-4,6.699623320000001,8.95572737961035,150
running,2023-07-04T03:50:12Z,2.697,65.535,73,15.37,127,131,2023,7,4,2023-7-4,6.033016392,9.945273823482758,146
cycling,2023-07-15T17:30:25Z,2.045,65.535,255,8046.72,127,133,2023,7,15,2023-7-15,4.57453412,13.116089731996578,510
cycling,2023-07-15T18:14:35Z,2.304,65.535,255,5941.35,127,128,2023,7,15,2023-7-15,5.153900544,11.641668186602866,510
running,2023-07-16T17:01:39Z,2.68,65.535,73,1609.34,127,134,2023,7,16,2023-7-16,5.994988480000001,10.00835951564664,146
running,2023-07-16T17:11:47Z,2.645,65.535,74,1609.34,127,144,2023,7,16,2023-7-16,5.91669572,10.140795274832893,148
running,2023-07-16T17:21:30Z,2.764,65.535,75,1609.34,127,146,2023,7,16,2023-7-16,6.182891103999999,9.704198083188496,150
running,2023-07-16T17:31:33Z,2.98,65.535,76,1609.34,127,152,2023,7,16,2023-7-16,6.66606928,9.00080654427282,152
running,2023-07-16T17:38:55Z,2.778,65.535,74,1054.01,127,149,2023,7,16,2023-7-16,6.2142082080000005,9.655292837268899,148
running,2023-07-19T18:41:28Z,2.825,65.535,74,1609.34,127,144,2023,7,19,2023-7-19,6.319344200000001,9.494656106878937,148
running,2023-07-19T18:51:14Z,2.747,65.535,74,1609.34,127,146,2023,7,19,2023-7-19,6.144863192,9.764253185996724,148
running,2023-07-19T19:00:19Z,2.956,65.535,74,1609.34,127,152,2023,7,19,2023-7-19,6.612382816,9.073884811208728,148
running,2023-07-19T19:03:38Z,3.195,65.535,74,631.86,127,160,2023,7,19,2023-7-19,7.147010519999999,8.395118466958687,148
running,2023-07-21T16:13:31Z,3.149,65.535,74,1609.34,127,143,2023,7,21,2023-7-21,7.044111464,8.517752779273739,148
running,2023-07-21T16:23:03Z,3.105,65.535,74,1609.34,127,154,2023,7,21,2023-7-21,6.94568628,8.638455234116908,148
running,2023-07-21T16:31:46Z,3.077,65.535,74,1609.34,127,156,2023,7,21,2023-7-21,6.883052072,8.717063211547936,148
running,2023-07-21T16:35:03Z,3.323,65.535,74,594.29,127,155,2023,7,21,2023-7-21,7.433338328,8.071743455291303,148
cycling,2023-07-22T17:38:58Z,1.659,65.535,255,5860.09,127,130,2023,7,22,2023-7-22,3.711076824,16.167814045770346,510
running,2023-07-24T22:07:40Z,2.556,65.535,75,1609.34,127,141,2023,7,24,2023-7-24,5.717608416,10.493898083698356,150
running,2023-07-24T22:16:54Z,2.903,65.535,73,1609.34,127,147,2023,7,24,2023-7-24,6.4938252080000005,9.23954650428281,146
running,2023-07-24T22:25:24Z,3.506,65.535,72,1609.34,127,144,2023,7,24,2023-7-24,7.842697616,7.650428836832003,144
running,2023-07-24T22:33:43Z,3.224,65.535,73,1609.34,127,137,2023,7,24,2023-7-24,7.211881664000001,8.319604063875,146
running,2023-07-24T22:33:52Z,2.395,65.535,72,9.97,127,132,2023,7,24,2023-7-24,5.35746172,11.199333403729854,144
cycling,2023-07-25T16:01:18Z,2.729,65.535,255,8046.72,127,134,2023,7,25,2023-7-25,6.104598344,9.828656468278856,510
cycling,2023-07-25T16:48:55Z,2.531,65.535,255,7227.42,127,124,2023,7,25,2023-7-25,5.661685016000001,10.59755175896207,510
running,2023-07-26T04:21:12Z,2.527,65.535,75,1609.34,127,140,2023,7,26,2023-7-26,5.652737272,10.614326672707953,150
running,2023-07-26T04:32:43Z,2.457,65.535,74,1609.34,127,122,2023,7,26,2023-7-26,5.496151751999999,10.916729142015875,148
running,2023-07-26T04:43:28Z,2.496,65.535,75,1609.34,127,138,2023,7,26,2023-7-26,5.583392256,10.746155249171876,150
running,2023-07-26T04:43:42Z,2.015,65.535,72,22.46,127,131,2023,7,26,2023-7-26,4.50742604,13.3113665022,144
cycling,2023-07-26T17:08:22Z,2.224,65.535,255,8046.72,127,133,2023,7,26,2023-7-26,4.974945664000001,12.060433229286419,510
cycling,2023-07-26T17:28:01Z,3.599,65.535,255,4235.49,127,134,2023,7,26,2023-7-26,8.050732664,7.4527378443826064,510
running,2023-07-27T03:50:39Z,2.895,65.535,75,1609.34,127,128,2023,7,27,2023-7-27,6.47592972,9.265078929855958,150
running,2023-07-27T04:00:15Z,3.12,65.535,72,1609.34,127,144,2023,7,27,2023-7-27,6.979240320000001,8.596924199337499,144
